0,1
so when you ask what the two illnesses aretheyre similar in that they tend to have moodiness involved impulsivity and self-damaging behaviors for compensatory measures otherwise theyre not really that similar but they do seem to "like" one another and often show up in the same personmaking their lives chaotic difficult dysfunctional and intense so if your friend is concerned that they may have one (or both) of these illnesses they should not be ashamed its definitely not their fault they should instead get help from a professionaland insist that they are treated appropriately with the correct types of therapy and medication,0
in addition people with bpd quite often have a weak self concept they dont always know who they really are deep down inside they may always feel like theres something missing or something wrong with them intrinsically this can cause periods of dissociation and difficulty in maintaining a healthy sense of self esteem they may have a weak value system (or one that is missing entirely) or find that they have a difficult time adhering to whatever value system they do have since theres a real issue with trusting and black/white thinking they dont always trust in their own decisions and may do things to get people to "like" them or not leave them that would be against their value system normally and think that they (themselves) are terrible/bad/evil people for doing it later they often take their mistakes in life much more seriously than other people a "normal" person may make the same mistake and feel bad about it but its unlikely that they will see themselves as terrible/bad/evil for having made the mistake oftentimes a person with bpd would make that mistake and internalize it as a personal failurethat it happened because they (themselves) are awful/bad/wrong this means that their self concept is much more fluid than "normal" people now please keep in mind that not all bpd sufferers have every single one of these symptoms there are definitely other symptoms that can be included in the diagnosis but this is a pretty good start and the most common symptoms sufferers may face people with bpd need intense therapy because they must change how they see themselves and the world around them (having a more mature realistic viewpoint of the world that isnt all black or all white) rebuild value systems and self concepts that may be missing/aberrant build the ability to trust others/self and learn coping mechanisms dbt (dialectic behavioral therapy) was developed for bpd sufferers initially and has shown some positive results for sufferers who adhere to the techniques in their lives heres the thing too its fairly common for bipolar and bpd to be comorbid in a person (meaning they have both at the same time) we dont necessarily know if theres a genetic link between them but we are beginning to think thats possible a person suffering from both at the same time (untreated) would tend to be extremely emotional moody hypersensitive to criticism untrusting self-damaging with highs and lows in behavior that make their lives (and the lives of those who love them) quite difficult they are chaotic because their brain isnt working correctly due to chemical imbalances and at the same time their perception of themselves other people and the world is one based on distrust and fear of being abandoned or rejected they tend to have problems with love relationships friendships family relationships and relationships with coworkers quite often they end up being in the hospital for suicidal ideations or for mania (more often for depression than mania) its not uncommon for them to end up in the system for some time before they get a proper and correct diagnosis (and a good treatment plan) they may get kicked out of the system early with a misdiagnosis which leads to poor management of symptoms and relapsing,0
borderline personality disorder like all other personality disorders is an abnormal way of perceiving and interacting with the world think of it as having a dirty filter that the sufferer sees the world through constantly we do not believe it is caused by chemical imbalances in the brain but its possible that some of the symptoms might because medication *can* help some sufferers (but doesnt help everyone) because they perceive things incorrectly they often react inappropriately to situations that occur people with bpd typically (not always as there is some room for deviation) have problems with emotional regulation and may react incorrectly to unexpected situations that occur they may be perceived by others as being moody and reactive they often have problems with trusting other people its believed this occurs because of unhealthy childhood experiences with parents caregivers teachers and peers however there may also be a genetic propensity for people to have bpd as well regardless they tend to have short-lived intense relationships with lovers where they cling one minute and push away the next they often have issues with infidelity due to a fear that they will be abandoned theres a real fear of abandonment and rejection they tend to have black and white thinking (things are all wrong or all good) and that means they often either idealize or villainize their lovers depending on their mood this leaves the lover often feelling like they dont really know whats going on or where they stand in the relationship one minute the lover is being adored and the next they are being pushed away if theres infidelity or other types of self-damaging risky behavior occurring the lover may eventually get fed up because of this behavior and their intense lack of trust quite oftenthe sufferer does cause their lover to leave them this of course reinforces their belief that they will always be abandoned left and/or aloneand the cycle of clinging/pushing away starts again with a new person usually quite soon afterward it should be notedthis black and white thinking tends to color their perception and behavior in regards to themselves their self esteem their self concept and the world around them quite often they are hypersensitive to criticism (or even perceived criticism) this goes back to that deep seeded fear of being rejected or abandoned more than likely they lived in a household situation with a parent or caregiver who wouldone minute seemingly dote on the child and the next without obvious reasonpush the child away inconsistent inattentive cold neglectful or absentee parenting seems to be a big part of the reason a person with bpd may have had it develop since we learn to trust from the first people in our lives (usually our parents)if a parent proves to be untrustworthy absent cold or inconsistent with affection/punishmenta child may learn that they cant trust anyone deep down people with bpd dont always trust themselves either because they tend to have very black and white thinking they dont always handle situations very well this "just world" concept where they seem to think that "good things happen to good people and bad things happen to bad people" can cause them to see themselves as bad/evil/wrong if something bad happens to them even things they cant control in addition they often have feelings of intense anger if things dont go as they expected especially if it deals with other people their expectations of other people are usually unrealistic (because their expectations of themselves and the world are unrealistic generally) they may get physically violent or abusive when things dont go the way they expected during a period of devaluation of their love partner they may become violent or abusive (note: this doesnt happen with every bpd sufferer but it is a common enough occurrence that it should be said) they have intense changes in feelings and react quickly to situations without always thinking things through they can be self-damaging and impulsive this is where people get it confused with bipolar disease because bipolar tends to cause highs and lows and emotional reactivity during those periods people with bpd have this issue all the time howevernot just when they are experiencing a disease relapse from one extreme or the other,0
long answer: bipolar disease is caused by a chemical imbalance in the brain it can be treated with medication and therapy typically people with bipolar disease have learned to compensate for it in unhealthy ways (illegal drug use eating disorders gambling promiscuity alcoholism self harm etc) and therapy can assist them with overcoming these unhealthy "coping mechanisms" in addition they may need therapy that assists with rebuilding family relationships that the sufferer (while in a relapse state) has damaged bipolar disease often causes lability of emotional response and potentially self-damaging behaviors that come from that they tend to have periods of mania/hypomania and depression that is severe during mania they may feel like they have more energy be happier (without reason) have grandiose ideas of themself and their abilities need less sleep be much more sexual and engage in risky behaviors without considering the consequences during depression they may be suicidal incapable of caring for themself engage in self-harm have a hard time leaving their house/bed and miss a lot of work depending on what "type" of bipolar a person has (or where they fall on the spectrum) determines quite often how serious their periods of mania/hypomania are and how long those occurand how serious their depressive episodes are and how long those occur regardless its a difficult situation they live with constantly medication typically works to counterbalance the chemical imbalance in their brain (or offset the symptoms) so that they can function somewhat normally without huge highs and lows,1
well think of bipolar as a rollar coaster you have high and low peaks where your mood can either rapidly alternate up and down or have the longwr lasting shifts ups that last for days ect depression and anger are two of the most common now as for borderline personality  its more like a tilt a wirl your moods can go secerap directions and rapidly  impulsivness is a major part of it as well not making sound judgement and just doing not to mention reations to situations that are commonly deemed inappropriate i myself suffer from both and it took me along time to become stable and somedays i still struggle with it,0
believe me i show you much more than anyone i still have lots of work to do but i trust you completely i hope you feel the same you can share anything with me li no worries,0
yes i feel the exact same way my family avoids me all ways/always now i have no place in my family and no voice either i now choose not to give them any info if at all possible all they do now is hurt me and leave me out of all family functions and matters because i am not strong enough this is the time you find your true family and friends facebook has helped me tremendously i will not validate their behavior because it is so stereotypical they choose to remain ignorant,0
i was hospitalized in may for the same reason ive dealt with the loneliness that comes with it unless you know someone who has struggled with it its really hard for others to relate problem is it adds to the emotional mudslide that plagues us i completely understand where you are coming from,0
i feel like that and im hearing you loud okay just a while ago only an hour or so i wás feeling like there was nothing in this world who will ever understand my feelings i caught it and held onto it and felt that if i didnt live it wouldnt matter i felt so hopeless that nobody understands and to understand is to love and if i didnt have love what would i do? die? im too frightened every time i try so its not working death wont work its not our time so what did i love? i love the world and i want to be a part of its healing it doesnt matter if people understand its enough that i do and the very few who know and love me understand the rest dont matter they are the sad ones cos they dont allow their minds to open and to accept that they maybe the ones harming us,0
